0, 195
1, 200
2, 225
3, 229
4, 233
5, 251
6, 240
7, 257
8, 240
9, 234
10, 237
11, 242
12, 248
13, 248
14, 252
15, 252
16, 238
17, 237
18, 251
19, 247
20, 251
21, 246
22, 245
23, 243
24, 230
25, 229
26, 224
27, 239
28, 247
29, 201461
30, 172799
31, 239
32, 483
33, 143
34, 182
35, 193
36, 518400
37, 0
38, 458202
39, 518340
40, 124956
41, 1822
42, 1692
43, 2649
44, 2139
45, 3362
46, 15553
47, 2606
48, 129223
49, 12841
50, 1190
51, 24548
52, 649
53, 528
54, 499
55, 443
56, 518400
57, 0
58, 510179
59, 482027
60, 435001
61, 2362
62, 1135
63, 695
64, 740
65, 407888
66, 437735
67, 422766
68, 7173
69, 260
70, 75
71, 282
72, 283
73, 51
74, 65
75, 206
76, 37
77, 46
78, 17
79, 22
80, 52
81, 13
82, 30
83, 54
84, 20
85, 52
86, 16
87, 14
88, 51
89, 37
90, 27
91, 35
92, 26
93, 18
94, 25
95, 19
96, 9
97, 16
98, 14
99, 13
100, 18
101, 13
102, 7
103, 24
104, 62
105, 23
106, 35
107, 37
108, 19
109, 122
110, 224
111, 233
112, 524
113, 585
114, 393
115, 69
116, 180
117, 104
118, 71
119, 438
120, 520
121, 456
122, 31
123, 43
124, 39
125, 56
126, 46
127, 161
128, 25
129, 24
130, 17
131, 40
132, 15
133, 66
134, 260
135, 941
136, 899
137, 1673
138, 1170
139, 1488
140, 1692
141, 1617
142, 1431
143, 1318
144, 872
145, 1119
146, 748
147, 921
148, 1050
149, 1118
150, 1852
151, 1551
152, 2026
153, 2435
154, 2580
155, 1062
156, 1426
157, 1522
158, 2433
159, 2212
160, 4504
161, 5133
162, 4979
163, 5780
164, 4139
165, 2869
166, 4661
167, 5644
168, 4693
169, 6112
170, 4004
171, 3137
172, 3697
173, 4604
174, 6513
175, 7854
176, 6459
177, 4777
178, 4311
179, 3656
180, 4067
181, 4356
182, 3740
183, 3534
184, 3630
185, 2979
186, 3524
187, 4190
188, 4149
189, 6120
190, 4969
191, 3032
192, 1997
193, 1724
194, 1903
195, 1809
196, 1915
197, 1846
198, 1535
199, 1439
200, 1328
201, 1301
202, 1270
203, 1573
204, 2118
205, 1935
206, 9265
207, 5091
208, 6191
209, 1445
210, 2794
211, 1486
212, 1765
213, 1234
214, 1275
215, 2769
216, 3772
217, 3752
218, 3270
219, 1654
220, 2012
221, 3448
222, 3500
223, 3458
224, 5198
225, 3495
226, 2601
227, 4803
228, 4665
229, 5247
230, 3490
231, 6631
232, 7022
233, 8511
234, 7587
235, 9141
236, 8341
237, 5734
238, 6436
239, 7316
240, 10819
241, 10922
242, 17963
243, 20895
244, 15978
245, 17715
246, 18423
247, 22513
248, 15937
249, 13334
250, 14289
251, 12655
252, 13799
253, 12906
254, 12040
255, 11632
256, 7490
257, 9354
258, 24032
259, 34304
260, 15964
261, 11033
262, 24995
263, 16872
264, 10042
265, 11919
266, 8859
267, 7790
268, 6307
269, 11451
270, 11449
271, 10288
272, 6697
273, 6164
274, 9167
275, 11271
276, 10374
277, 7342
278, 8998
279, 4880
280, 7484
281, 9841
282, 4552
283, 9253
284, 6379
285, 7046
286, 6120
287, 6664
